Component,Canonical_Correlation,Squared_Correlation
CC1,0.18881849604336928,0.03565242444807986
CC2,0.18127840683715943,0.03286186078541869
CC3,0.1585772984219026,0.025146759574789155
CC4,0.10272417608970309,0.010552256353308328
CC5,0.07110738104009597,0.005056259638381399
CC6,0.04974672306760851,0.0024747364559653327
CC7,0.03899883555601403,0.0015209091747250241
CC8,0.027803850545157306,0.0007730541051374442
