Set,Samples,Pred_Max,Pred_Min,Pred_Mean,Pred_Range,Actual_Max,Actual_Min,Actual_Mean,Actual_Range,Error_Mean,Error_Max,Error_Min,Abs_Error_Mean,Abs_Error_Max,Percent_Error_Mean,R2_Score,RMSE,MAE,MAPE
Train,916,234.7145490775199,28.699990268759834,115.83908652238924,206.01455880876006,235.2,28.8,115.84978165938865,206.39999999999998,-0.010695136999410153,2.991792435023278,-3.198894174962021,0.1832979247657283,3.198894174962021,0.19920936216558288,0.9999456093475649,0.3439906612044236,0.1832979247657283,0.00199209362165876
Val,196,171.39827615994056,60.646055642322615,115.74251814571983,110.75222051761796,189.6,50.4,117.09795918367347,139.2,-1.3554410379536437,27.448626563980227,-50.21690365145797,5.5123313676311225,50.21690365145797,4.976937889630825,0.9245047010506355,8.154354732943327,5.5123313676311225,0.04976937889636028
Test,198,207.6500104063494,111.52315662480291,163.63287391117106,96.12685378154649,216.0,108.0,169.86666666666665,108.0,-6.23379275549561,8.82762718719016,-38.84559265689083,7.394060634483325,38.84559265689083,4.279358543717358,0.8458674061228433,9.437602309467255,7.394060634483325,0.0427935854371988
