Set,Samples,Pred_Max,Pred_Min,Pred_Mean,Pred_Range,Actual_Max,Actual_Min,Actual_Mean,Actual_Range,Error_Mean,Error_Max,Error_Min,Abs_Error_Mean,Abs_Error_Max,Percent_Error_Mean,R2_Score,RMSE,MAE,MAPE
Train,916,217.5678238095238,31.17737142857145,115.79802933053118,186.39045238095233,235.2,28.8,115.84978165938865,206.39999999999998,-0.05175232885746549,17.131828571428578,-21.584869264069226,3.0805936565254246,21.584869264069226,3.116421741718516,0.9921853647631926,4.12324246308347,3.0805936565254246,0.031164217417226508
Val,196,172.08545714285702,68.90189047619045,120.85733930618699,103.18356666666658,189.6,50.4,117.09795918367347,139.2,3.759380122513538,25.30295930735923,-20.301438095238154,7.514908227741642,25.30295930735923,7.413619032502625,0.8999346356725741,9.387966608047128,7.514908227741642,0.0741361903251078
Test,198,192.23962770562773,123.94439783549782,167.1183744943608,68.2952298701299,216.0,108.0,169.86666666666665,108.0,-2.748292172305833,26.12609393939384,-24.166507792207796,8.265974759752046,26.12609393939384,4.940633637472308,0.81329816925899,10.386966175510738,8.265974759752046,0.049406336374753675
